time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:00s)	1	1,0,0,0,0;1,0,0,0,0	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	2	2,0,0,0,0;2,0,0,0,0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	3	2,0,0,0,0;1,1,0,0,0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	4	1,1,0,0,0;1,1,0,0,0	2	2	2	1	1	1/2	0	1	1	0	7.6009	7.6009	
(0h:00m:00s)	5	3,0,0,0,0;3,0,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	6	3,0,0,0,0;2,1,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	7	3,0,0,0,0;1,1,1,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	8	2,1,0,0,0;2,1,0,0,0	3	1	2	2	2	1	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	9	2,1,0,0,0;1,1,1,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	10	1,1,1,0,0;1,1,1,0,0	3	6	4	1	1	1/6	-0.5	0	9	3.1073	17.399	28.9984	
(0h:00m:00s)	11	4,0,0,0,0;4,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	12	4,0,0,0,0;3,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	13	4,0,0,0,0;2,2,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	14	4,0,0,0,0;2,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	15	4,0,0,0,0;1,1,1,1,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	16	3,1,0,0,0;3,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	17	3,1,0,0,0;2,2,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	18	3,1,0,0,0;2,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	19	3,1,0,0,0;1,1,1,1,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	20	2,2,0,0,0;2,2,0,0,0	4	1	3	3	3	1	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	21	2,2,0,0,0;2,1,1,0,0	4	2	4	3	3	1/2	0.5	1	9	3.1073	15.2018	15.2018	
(0h:00m:00s)	22	2,2,0,0,0;1,1,1,1,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	23	2,1,1,0,0;2,1,1,0,0	4	5	5	2	2	1/5	0.4	1	7	2.07154	14.1953	25.5516	
(0h:00m:01s)	24	2,1,1,0,0;1,1,1,1,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	25	1,1,1,1,0;1,1,1,1,0	4	24	7	1	1	1/24	-0.714286	0	19	7.76826	35.3003	67.659	
(0h:00m:01s)	26	5,0,0,0,0;5,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	27	5,0,0,0,0;4,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	28	5,0,0,0,0;3,2,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	29	5,0,0,0,0;3,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	30	5,0,0,0,0;2,2,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	31	5,0,0,0,0;2,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	32	5,0,0,0,0;1,1,1,1,1	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	33	4,1,0,0,0;4,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	34	4,1,0,0,0;3,2,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	35	4,1,0,0,0;3,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	36	4,1,0,0,0;2,2,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	37	4,1,0,0,0;2,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	38	4,1,0,0,0;1,1,1,1,1	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	39	3,2,0,0,0;3,2,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	40	3,2,0,0,0;3,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	41	3,2,0,0,0;2,2,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	42	3,2,0,0,0;2,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	43	3,2,0,0,0;1,1,1,1,1	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	44	3,1,1,0,0;3,1,1,0,0	5	1	5	5	5	1	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	45	3,1,1,0,0;2,2,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	46	3,1,1,0,0;2,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	47	3,1,1,0,0;1,1,1,1,1	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	48	2,2,1,0,0;2,2,1,0,0	5	5	7	3	4	1/5	0.571429	1	12	4.14307	19.8735	35.7722	
(0h:00m:01s)	49	2,2,1,0,0;2,1,1,1,0	5	12	8	2	3	1/12	0.537847	1	11	3.61624	20.3237	56.356	
(0h:00m:01s)	50	2,2,1,0,0;1,1,1,1,1	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	51	2,1,1,1,0;2,1,1,1,0	5	27	9	2	2	1/27	0.525783	1	11	3.4452	21.5167	78.2275	
(0h:00m:01s)	52	2,1,1,1,0;1,1,1,1,1	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	53	1,1,1,1,1;1,1,1,1,1	5	120	11	1	1	1/120	-0.818182	0	31	13.9829	64.3239	136.152	
(0h:00m:01s)	54	5,1,0,0,0;5,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	55	5,1,0,0,0;4,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	56	5,1,0,0,0;3,3,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	57	5,1,0,0,0;4,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	58	5,1,0,0,0;3,2,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	59	5,1,0,0,0;2,2,2,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	60	5,1,0,0,0;3,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	61	5,1,0,0,0;2,2,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	62	5,1,0,0,0;2,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	63	4,2,0,0,0;4,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	64	4,2,0,0,0;3,3,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	65	4,2,0,0,0;4,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	66	4,2,0,0,0;3,2,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	67	4,2,0,0,0;2,2,2,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	68	4,2,0,0,0;3,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	69	4,2,0,0,0;2,2,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	70	4,2,0,0,0;2,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	71	3,3,0,0,0;3,3,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	72	3,3,0,0,0;4,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	73	3,3,0,0,0;3,2,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	74	3,3,0,0,0;2,2,2,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	75	3,3,0,0,0;3,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	76	3,3,0,0,0;2,2,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	77	3,3,0,0,0;2,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	78	4,1,1,0,0;4,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	79	4,1,1,0,0;3,2,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
