time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:00s)	1	1,1;1,1	2	2	2	1	1	1/2	0	1	1	0	7.6009	7.6009	
(0h:00m:00s)	2	2,1;1,1,1	3	3	3	1	1	1/3	0	1	1	0	8.00637	8.00637	
(0h:00m:00s)	3	1,1,1;1,1,1	3	6	4	1	1	1/6	-0.5	0	9	3.1073	17.399	28.9984	
(0h:00m:00s)	4	2,2;1,1,1,1	4	6	5	1	1	1/6	-0.2	0	5	0.776826	10.8744	21.7488	
(0h:00m:00s)	5	2,1,1;2,1,1	4	5	5	2	2	1/5	0.4	1	7	2.07154	14.1953	25.5516	
(0h:00m:00s)	6	2,1,1;1,1,1,1	4	12	6	1	1	1/12	0.333333	1	7	1.55365	14.089	42.267	
(0h:00m:00s)	7	1,1,1,1;1,1,1,1	4	24	7	1	1	1/24	-0.714286	0	19	7.76826	35.3003	67.659	
(0h:00m:00s)	8	3,1,1;2,1,1,1	5	7	7	3	3	1/7	0.571429	1	12	4.14307	20.6586	44.2683	
(0h:00m:00s)	9	3,1,1;1,1,1,1,1	5	20	8	1	1	1/20	0.375	1	8	1.86438	15.8456	51.4981	
(0h:00m:00s)	10	2,2,1;2,2,1	5	5	7	3	4	1/5	0.571429	1	12	4.14307	19.8735	35.7722	
(0h:00m:00s)	11	2,2,1;2,1,1,1	5	12	8	3	3	1/12	0.537847	1	11	3.61624	20.3237	56.356	
(0h:00m:00s)	12	2,2,1;1,1,1,1,1	5	30	9	1	1	1/30	0.444444	1	9	2.48584	18.5561	80.4098	
(0h:00m:00s)	13	2,1,1,1;2,1,1,1	5	27	9	2	2	1/27	0.525783	1	11	3.4452	21.5167	78.2275	
(0h:00m:00s)	14	2,1,1,1;1,1,1,1,1	5	60	10	1	1	1/60	-0.5	0	11	3.1073	22.0042	97.1852	
(0h:00m:01s)	15	1,1,1,1,1;1,1,1,1,1	5	120	11	1	1	1/120	-0.818182	0	31	13.9829	64.3239	136.152	
(0h:00m:01s)	16	3,2,1;2,2,1,1	6	8	10	5	6	1/8	0.673205	1	17	6.40112	27.501	56.17	
(0h:00m:01s)	17	3,2,1;2,1,1,1,1	6	22	11	3	4	1/22	0.612005	1	14	4.90131	25.7704	84.9898	
(0h:00m:01s)	18	2,2,2;2,2,2	6	6	10	7	7	1/6	0.7	1	19	7.25038	28.9984	72.496	
