time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:01s)	1	1,0,0,0,0;1,0,0,0,0	1	1	225	225	225	1	NA	NA	0	NA	NA	NA	
(0h:00m:01s)	2	2,0,0,0,0;2,0,0,0,0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	3	2,0,0,0,0;1,1,0,0,0	2	1	225	225	225	1	NA	NA	0	NA	NA	NA	
(0h:00m:01s)	4	1,1,0,0,0;1,1,0,0,0	2	2	225	224	224	1/2	0.991111	1	697	346.464	855.102	855.102	
(0h:00m:01s)	5	3,0,0,0,0;3,0,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	6	3,0,0,0,0;2,1,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	7	3,0,0,0,0;1,1,1,0,0	3	1	225	225	225	1	NA	NA	0	NA	NA	NA	
(0h:00m:01s)	8	2,1,0,0,0;2,1,0,0,0	3	1	225	225	225	1	NA	NA	0	NA	NA	NA	
(0h:00m:01s)	9	2,1,0,0,0;1,1,1,0,0	3	3	225	223	223	1/3	0.986667	1	485	229.94	600.478	600.478	
(0h:00m:01s)	10	1,1,1,0,0;1,1,1,0,0	3	6	225	222	222	1/6	0.986667	1	485	229.94	652.464	1631.16	
(0h:00m:01s)	11	4,0,0,0,0;4,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	12	4,0,0,0,0;3,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	13	4,0,0,0,0;2,2,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	14	4,0,0,0,0;2,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	15	4,0,0,0,0;1,1,1,1,0	4	1	225	225	225	1	NA	NA	0	NA	NA	NA	
(0h:00m:01s)	16	3,1,0,0,0;3,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	17	3,1,0,0,0;2,2,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:01s)	18	3,1,0,0,0;2,1,1,0,0	4	1	225	225	225	1	NA	NA	0	NA	NA	NA	
(0h:00m:01s)	19	3,1,0,0,0;1,1,1,1,0	4	4	225	222	222	1/4	0.982222	1	370	171.679	466.54	466.54	
