time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:00s)	1	1,1;1,1	2	2	9	8	8	1/2	0.777778	1	25	10.8756	34.2041	34.2041	
(0h:00m:00s)	2	2,1;1,1,1	3	3	18	16	16	1/3	0.833333	1	36	15.5365	48.0382	48.0382	
(0h:00m:00s)	3	1,1,1;1,1,1	3	6	36	33	33	1/6	0.916667	1	75	34.1803	104.394	260.985	
(0h:00m:00s)	4	2,2;1,1,1,1	4	6	30	26	26	1/6	0.866667	1	44	20.1975	65.2464	130.493	
(0h:00m:01s)	5	2,1,1;2,1,1	4	5	36	33	33	1/5	0.916667	1	72	34.1803	102.206	183.971	
(0h:00m:01s)	6	2,1,1;1,1,1,1	4	12	60	55	55	1/12	0.933333	1	101	43.5023	140.89	422.67	
(0h:00m:01s)	7	1,1,1,1;1,1,1,1	4	24	100	94	94	1/24	0.96	1	173	74.5753	252.145	966.557	
(0h:00m:01s)	8	3,1,1;2,1,1,1	5	7	60	56	56	1/7	0.95	1	122	59.0388	177.073	379.443	
(0h:00m:01s)	9	3,1,1;1,1,1,1,1	5	20	90	83	83	1/20	0.944444	1	125	52.8242	178.263	579.354	
(0h:00m:01s)	10	2,2,1;2,2,1	5	5	36	32	33	1/5	0.916667	1	72	34.1803	102.206	183.971	
(0h:00m:01s)	11	2,2,1;2,1,1,1	5	12	60	54	55	1/12	0.93838	1	105	47.3192	152.428	422.67	
(0h:00m:01s)	12	2,2,1;1,1,1,1,1	5	30	90	82	82	1/30	0.944444	1	123	52.8242	185.561	804.098	
(0h:00m:01s)	13	2,1,1,1;2,1,1,1	5	27	100	93	93	1/27	0.957321	1	158	69.6982	239.075	869.195	
(0h:00m:01s)	14	2,1,1,1;1,1,1,1,1	5	60	150	141	141	1/60	0.966667	1	214	90.1118	330.063	1457.78	
(0h:00m:01s)	15	1,1,1,1,1;1,1,1,1,1	5	120	225	215	215	1/120	0.977778	1	325	136.721	526.286	2784.93	
(0h:00m:01s)	16	3,2,1;2,2,1,1	6	8	60	55	56	1/8	0.945534	1	118	53.9432	165.006	337.02	
(0h:00m:01s)	17	3,2,1;2,1,1,1,1	6	22	90	82	83	1/22	0.952578	1	134	62.4177	210.849	695.371	
(0h:00m:01s)	18	2,2,2;2,2,2	6	6	36	33	33	1/6	0.916667	1	75	34.1803	104.394	260.985	
(0h:00m:01s)	19	2,2,2;2,2,1,1	6	15	60	52	52	1/15	0.933333	1	95	43.5023	144.237	346.169	
(0h:00m:01s)	20	2,2,2;2,1,1,1,1	6	36	90	81	81	1/36	0.944444	1	122	52.8242	188.843	917.986	
(0h:00m:01s)	21	3,1,1,1;3,1,1,1	6	10	100	95	95	1/10	0.96	1	167	74.5753	230.259	460.517	
(0h:00m:01s)	22	3,1,1,1;2,2,1,1	6	18	100	94	94	1/18	0.963723	1	177	82.5472	270.091	1034.25	
(0h:00m:01s)	23	3,1,1,1;2,1,1,1,1	6	48	150	141	141	1/48	0.970972	1	224	103.937	371.325	1515.79	
(0h:00m:01s)	24	2,2,1,1;2,2,1,1	6	34	100	91	91	1/34	0.955436	1	148	66.619	234.136	889.969	
(0h:00m:01s)	25	2,2,1,1;2,1,1,1,1	6	78	150	139	140	1/78	0.966667	1	199	90.1118	337.934	1473.05	
(0h:00m:01s)	26	2,1,1,1,1;2,1,1,1,1	6	168	225	213	213	1/168	0.975829	1	290	125.448	497.778	2674.91	
(0h:00m:02s)	27	3,3,1;2,2,2,1	7	7	60	54	56	1/7	0.95	1	122	59.0388	177.073	379.443	
(0h:00m:02s)	28	3,3,1;2,2,1,1,1	7	18	90	83	83	1/18	0.955556	1	146	66.807	220.458	734.86	
(0h:00m:02s)	29	3,2,2;2,2,2,1	7	12	60	54	54	1/12	0.93838	1	105	47.3192	152.428	422.67	
(0h:00m:02s)	30	3,2,2;2,2,1,1,1	7	31	90	80	80	1/31	0.948581	1	128	57.3236	201.126	690.562	
(0h:00m:02s)	31	4,1,1,1;3,1,1,1,1	7	13	150	144	144	1/13	0.973333	1	241	113.417	355.226	765.103	
(0h:00m:02s)	32	4,1,1,1;2,2,1,1,1	7	24	150	143	143	1/24	0.976034	1	269	126.548	420.841	1701.98	
(0h:00m:02s)	33	3,2,1,1;3,2,1,1	7	13	100	94	95	1/13	0.966691	1	197	90.1793	284.387	728.67	
(0h:00m:02s)	34	3,2,1,1;2,2,2,1	7	27	100	92	92	1/27	0.957133	1	157	69.38	238.03	1058.15	
(0h:00m:02s)	35	3,2,1,1;3,1,1,1,1	7	34	150	142	142	1/34	0.973333	1	236	113.417	391.279	1242.89	
(0h:00m:02s)	36	3,2,1,1;2,2,1,1,1	7	68	150	139	140	1/68	0.968569	1	213	95.7531	354.019	1669.09	
(0h:00m:02s)	37	2,2,2,1;2,2,2,1	7	51	100	88	91	1/51	0.946071	1	128	54.5115	200.999	1041.45	
(0h:00m:02s)	38	2,2,2,1;3,1,1,1,1	7	60	150	139	141	1/60	0.96824	1	220	94.7311	346.419	1567.8	
(0h:00m:02s)	39	2,2,2,1;2,2,1,1,1	7	117	150	136	137	1/117	0.963541	1	183	82.1197	320.082	1645.76	
(0h:00m:02s)	40	3,1,1,1,1;3,1,1,1,1	7	88	225	214	214	1/88	0.976764	1	291	130.623	489.986	2241.44	
(0h:00m:02s)	41	3,1,1,1,1;2,2,1,1,1	7	150	225	213	213	1/150	0.977347	1	299	134.062	526.126	2985.56	
(0h:00m:03s)	42	2,2,1,1,1;2,2,1,1,1	7	258	225	210	210	1/258	0.974192	1	267	117.295	482.829	2738.46	
(0h:00m:03s)	43	3,3,2;2,2,2,2	8	12	60	55	55	1/12	0.933333	1	101	43.5023	140.89	422.67	
(0h:00m:03s)	44	3,3,2;2,2,2,1,1	8	31	90	78	80	1/31	0.948581	1	128	57.3236	201.126	840.684	
(0h:00m:03s)	45	4,2,1,1;3,2,1,1,1	8	18	150	143	144	1/18	0.977619	1	283	135.729	437.786	1224.77	
(0h:00m:03s)	46	4,2,1,1;2,2,2,1,1	8	39	150	141	142	1/39	0.970749	1	231	103.123	361.404	1463.72	
(0h:00m:03s)	47	3,3,1,1;3,3,1,1	8	4	100	98	98	1/4	0.98	1	308	152.258	414.702	622.054	
