time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:00s)	1	1,0,0,0,0,0;1,0,0,0,0,0	1	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	2	2,0,0,0,0,0;2,0,0,0,0,0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	3	2,0,0,0,0,0;1,1,0,0,0,0	2	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	4	1,1,0,0,0,0;1,1,0,0,0,0	2	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676	
(0h:00m:00s)	5	3,0,0,0,0,0;3,0,0,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	6	3,0,0,0,0,0;2,1,0,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	7	3,0,0,0,0,0;1,1,1,0,0,0	3	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	8	2,1,0,0,0,0;2,1,0,0,0,0	3	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	9	2,1,0,0,0,0;1,1,1,0,0,0	3	3	441	439	439	1/3	0.993197	1	953	453.666	1176.94	1176.94	
(0h:00m:00s)	10	1,1,1,0,0,0;1,1,1,0,0,0	3	6	441	438	438	1/6	0.993197	1	953	453.666	1278.83	3197.07	
(0h:00m:00s)	11	4,0,0,0,0,0;4,0,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	12	4,0,0,0,0,0;3,1,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	13	4,0,0,0,0,0;2,2,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	14	4,0,0,0,0,0;2,1,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	15	4,0,0,0,0,0;1,1,1,1,0,0	4	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	16	3,1,0,0,0,0;3,1,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	17	3,1,0,0,0,0;2,2,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	18	3,1,0,0,0,0;2,1,1,0,0,0	4	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	19	3,1,0,0,0,0;1,1,1,1,0,0	4	4	441	438	438	1/4	0.99093	1	727	339.473	914.419	914.419	
(0h:00m:00s)	20	2,2,0,0,0,0;2,2,0,0,0,0	4	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	21	2,2,0,0,0,0;2,1,1,0,0,0	4	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676	
(0h:00m:00s)	22	2,2,0,0,0,0;1,1,1,1,0,0	4	6	441	437	437	1/6	0.99093	1	686	339.473	959.122	1918.24	
(0h:00m:00s)	23	2,1,1,0,0,0;2,1,1,0,0,0	4	5	441	438	438	1/5	0.993197	1	912	453.666	1252.03	2253.65	
(0h:00m:00s)	24	2,1,1,0,0,0;1,1,1,1,0,0	4	12	441	436	436	1/12	0.99093	1	759	339.473	1035.54	3106.62	
(0h:00m:00s)	25	1,1,1,1,0,0;1,1,1,1,0,0	4	24	441	435	435	1/24	0.99093	1	772	339.473	1111.96	4262.52	
(0h:00m:00s)	26	5,0,0,0,0,0;5,0,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	27	5,0,0,0,0,0;4,1,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	28	5,0,0,0,0,0;3,2,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	29	5,0,0,0,0,0;3,1,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	30	5,0,0,0,0,0;2,2,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	31	5,0,0,0,0,0;2,1,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	32	5,0,0,0,0,0;1,1,1,1,1,0	5	1	441	441	441	1	NA	NA	0	NA	NA	NA	
(0h:00m:00s)	33	4,1,0,0,0,0;4,1,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	34	4,1,0,0,0,0;3,2,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	35	4,1,0,0,0,0;3,1,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(0h:00m:00s)	36	4,1,0,0,0,0;2,2,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
